Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
NIFTY,12-Nov-2025,25-Nov-2025,CE,24150.00,1847.80,1847.80,1847.80,1847.80,1847.80,1847.80,1.00,19.50,1.39,450.00,-75.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23550.00,2440.35,2440.35,2440.35,2440.35,2440.35,2440.35,1.00,19.49,1.83,300.00,-75.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27400.00,2.20,2.30,1.90,2.15,2.05,2.15,7075.00,145402.29,11.04,498375.00,2925.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23150.00,2826.40,2835.55,2826.40,2831.00,2835.55,2831.00,2.00,38.97,4.25,300.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27050.00,5.55,6.65,4.85,6.05,5.95,6.05,3702.00,75119.98,15.65,126675.00,56550.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24200.00,1755.00,1789.20,1755.00,1789.20,1789.20,1725.55,12.00,233.81,16.01,13275.00,300.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25650.00,349.00,455.55,349.00,424.50,420.25,424.50,5392.00,105369.12,1640.52,237525.00,-90225.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23500.00,2456.95,2515.00,2409.50,2479.30,2472.65,2479.30,38.00,740.18,70.43,238575.00,-300.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,22800.00,3187.10,3187.10,3187.10,3187.10,3187.10,3187.10,1.00,19.49,2.39,21000.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25600.00,408.55,497.65,407.40,465.05,458.50,465.05,21458.00,419214.00,7220.40,1026675.00,-474000.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26900.00,9.65,10.50,7.65,9.40,9.30,9.40,16411.00,331203.43,111.50,714675.00,100575.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27600.00,1.75,2.05,1.60,1.85,1.60,1.85,4043.00,83695.71,5.61,275550.00,-17700.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26800.00,14.15,14.75,10.65,13.05,13.05,13.05,24623.00,495156.13,233.83,1295175.00,21000.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25250.00,732.00,804.95,698.60,775.60,760.75,775.60,76.00,1481.51,42.26,13875.00,-2250.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26350.00,64.00,78.15,56.20,67.35,66.35,67.35,11272.00,223328.91,566.01,246150.00,71700.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25900.00,216.00,278.65,214.40,253.85,249.05,253.85,75500.00,1480612.52,14025.02,1566675.00,9825.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,24450.00,1555.10,1555.10,1537.35,1546.95,1537.35,1546.95,3.00,58.49,3.48,600.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25100.00,860.00,945.00,839.20,911.65,907.75,911.65,501.00,9765.04,333.72,81525.00,-11400.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,27700.00,1.55,1.70,1.40,1.60,1.50,1.60,2442.00,50735.41,2.86,279450.00,6825.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,25400.00,608.00,670.00,570.10,635.05,628.60,635.05,5597.00,109234.84,2611.99,367875.00,-45975.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26550.00,31.70,37.80,27.10,32.60,33.60,32.60,8580.00,171056.93,207.68,186450.00,38325.00,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,23800.00,2192.55,2192.55,2192.55,2192.55,2192.55,2192.55,1.00,19.49,1.64,3000.00,-,25875.80
NIFTY,12-Nov-2025,25-Nov-2025,CE,26050.00,163.30,193.70,144.70,171.50,170.00,171.50,12060.00,237145.67,1523.42,222375.00,47625.00,25875.80
